atol    1e-9
length    1.0
m_N    3
m_end    495.4955
m_start    0.4954955
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
0.4954955  0.44444448888888893  0  0.0001  -6.197730161049481e-19  -2.9948601585308734e-16  -1.602685868419116e-18  -2.98742440313383e-16  -0.0009468130268954205  -4.8919349258597835e-09  0.0006116112428084925  -3.8189766129474767e-10  -0  -0  -0  -0  
0.4954955  0.45454550000000005  0  0.0001  -3.648993189507073e-18  -2.9772742182468673e-16  -6.883031438090193e-19  -3.0114071347234036e-16  -0.0009586805162972815  -2.5663990358664122e-09  0.0006005243782420739  -3.834170485699986e-10  -0  -0  -0  -0  
0.4954955  0.46464651111111116  0  0.0001  -5.321147820403419e-19  -2.95809068007711e-16  -1.0863199714142165e-18  -3.0329245225294883e-16  -0.0009698728351786697  -4.915671914485962e-09  0.000588276540356427  -3.745017203000735e-10  -0  -0  -0  -0  
0.4954955  0.4747475222222223  0  0.0001  8.477427117652972e-19  -2.937367867519456e-16  9.843241371528357e-20  -3.0519594771327476e-16  -0.0009803746480839014  -9.762799327208781e-09  0.0005748921650752148  -3.5322539741347877e-10  -0  -0  -0  -0  
0.4954955  0.48484853333333333  0  0.0001  4.026285175805353e-19  -2.9150264679481576e-16  4.203456451700488e-19  -3.0684931457761466e-16  -0.0009901709309032235  -1.0722996622960426e-08  0.0005603978764817886  -3.1647998146465355e-10  -0  -0  -0  -0  
0.4954955  0.49494954444444444  0  0.0001  6.730343319837891e-19  -2.891234029130364e-16  -1.2029385362168363e-18  -3.08256736076362e-16  -0.0009992469988743086  -1.6331350480810177e-08  0.0005448224301818235  -2.637303344695956e-10  -0  -0  -0  -0  
0.4954955  0.5050505555555556  0  0.0001  2.5322456265064025e-19  -2.8658001736751955e-16  -3.9623896387340903e-19  -3.0940802548033434e-16  -0.0010075885390407177  -1.2663752714189722e-08  0.0005281966524184725  -1.9681599295188994e-10  -0  -0  -0  -0  
0.4954955  0.5151515666666667  0  0.0001  -1.6934403522923988e-18  -2.8389075904818437e-16  -2.9612050564296634e-18  -3.1031338167024784e-16  -0.0010151816471360164  -1.4409540309850808e-08  0.0005105533750725412  -1.204670131960135e-10  -0  -0  -0  -0  
0.4954955  0.5252525777777778  0  0.0001  -1.7260952874947715e-18  -2.8107655280010483e-16  -8.620541404935569e-19  -3.109662362482407e-16  -0.001022012863307742  -2.0045604830356065e-08  0.0004919273666872584  -4.460828323430021e-11  -0  -0  -0  -0  
0.4954955  0.535353588888889  0  0.0001  1.1027834542299413e-18  -2.781109490734202e-16  -1.831459393247606e-18  -3.113698733049827e-16  -0.0010280692105262832  -2.618048121261688e-09  0.00047235525966602885  -2.6358515926141936e-12  -0  -0  -0  -0  
0.4954955  0.5454546  0  0.0001  -8.768939517045947e-19  -2.766245022939935e-16  -3.088242623900189e-18  -3.115226381690204e-16  -0.0010333382220438837  -7.680800772129505e-10  0.0004518754737990303  -8.476520523607174e-11  -0  -0  -0  -0  
0.4954955  0.5555556111111111  0  0.0001  -1.6866270902772168e-19  -2.7674318778570107e-16  -3.805625739655951e-18  -3.114228626827893e-16  -0.0010378080002398332  -5.905915536964765e-09  0.00043052813628223025  -2.502781061486171e-10  -0  -0  -0  -0  
0.4954955  0.5656566222222222  0  0.0001  5.678125498068863e-19  -2.7667906592446887e-16  -2.958626282553185e-18  -3.110876940265871e-16  -0.0010414672056807308  -4.794944567698184e-09  0.0004083549983989936  -5.05656113604286e-10  -0  -0  -0  -0  
0.4954955  0.5757576333333334  0  0.0001  -8.542660648085164e-20  -2.7646498061420607e-16  -6.698721323292351e-19  -3.107136147522599e-16  -0.0010443051694875006  -5.655812048066186e-10  0.00038539934904262903  -8.664381451475312e-10  -0  -0  -0  -0  
0.4954955  0.5858586444444445  0  0.0001  -1.0755932950969865e-18  -2.7607914741402816e-16  -2.4410406574003277e-18  -3.101330807605675e-16  -0.0010463118607894801  -2.6417197154190298e-09  0.0003617059252625206  -1.3524502569060194e-09  -0  -0  -0  -0  
0.4954955  0.5959596555555556  0  0.0001  -3.4175792611771605e-19  -2.755131038245835e-16  -2.2613359631806743e-18  -3.093098808158416e-16  -0.001047477959907893  -9.019008633552974e-09  0.0003373208200241924  -1.9871882574949072e-09  -0  -0  -0  -0  
0.4954955  0.6060606666666667  0  0.0001  -1.6090896299773231e-18  -2.747984900969939e-16  -1.4641771760526928e-18  -3.0910240875598696e-16  -0.0010477948763738193  -2.8547137112386626e-10  0.0003122913873783858  -2.797813680267168e-09  -0  -0  -0  -0  
0.4954955  0.6161616777777777  0  0.0001  1.698065285657126e-18  -2.738954897833121e-16  -3.06173413312901e-18  -3.087347309506519e-16  -0.001047254810303328  -3.76063339467237e-10  0.0002866661452395928  -3.815340147870962e-09  -0  -0  -0  -0  
0.4954955  0.6262626888888889  0  0.0001  7.839781983748401e-19  -2.72831777424068e-16  -5.79564720660577e-18  -3.0812789490394733e-16  -0.0010458507624372608  -1.581900185225502e-08  0.0002604946759793581  -5.074901900458829e-09  -0  -0  -0  -0  
0.4954955  0.6363637  0  0.0001  1.1890735142184399e-18  -2.7159566015505856e-16  -2.7904034668252065e-18  -3.0728872352624433e-16  -0.0010435765870590913  -5.033030631996155e-09  0.00023382752504329208  -6.6160679303321006e-09  -0  -0  -0  -0  
0.4954955  0.6464647111111111  0  0.0001  1.499997789358119e-18  -2.7020044167300364e-16  -2.4351677027101764e-18  -3.0621104972828126e-16  -0.0010404270124981716  -7.005804077764491e-11  0.00020671609780550636  -8.483186629872813e-09  -0  -0  -0  -0  
0.4954955  0.6565657222222222  0  0.0001  8.4851669500836605e-19  -2.6864456295508797e-16  -5.114631588104943e-18  -3.049032901825498e-16  -0.001036397694037818  -2.995836604033944e-12  0.00017921255487687987  -1.0709321954243074e-08  -0  -0  -0  -0  
0.4954955  0.6666667333333334  0  0.0001  -2.4590682078433606e-18  -2.669234237500019e-16  1.1143806769899878e-18  -3.0336224547411783e-16  -0.0010314852304351  -1.793029256671524e-11  0.00015136970608660265  -1.3323365027583431e-08  -0  -0  -0  -0  
0.4954955  0.6767677444444444  0  0.0001  -8.701239880478424e-19  -2.6808383709958703e-16  -4.704149619579285e-18  -3.01591092360044e-16  -0.0010256872057476175  -4.0495361852194414e-09  0.00012324090335889677  -1.640474948731503e-08  -0  -0  -0  -0  
0.4954955  0.6868687555555556  0  0.0001  1.1340896422706166e-18  -2.711352429500115e-16  -1.8665957490173304e-18  -2.995925124013382e-16  -0.0010190022818603775  -1.1591000880753501e-09  9.487993270889124e-05  -1.0007698484422605e-08  -0  -0  -0  -0  
0.4954955  0.6969697666666667  0  0.0001  3.579683632227762e-18  -2.739741637486279e-16  -2.8962887867710685e-18  -2.973664176747872e-16  -0.0010114299093369208  -5.65353511780704e-10  6.634090558287322e-05  -1.2111627821205495e-08  -0  -0  -0  -0  
0.4954955  0.7070707777777779  0  0.0001  1.0766893474384807e-18  -2.7661191629439445e-16  -3.076189501944002e-18  -2.949239095505127e-16  -0.001002971003349921  -1.846760497551486e-09  3.7678149769441e-05  -1.4551343507217513e-08  -0  -0  -0  -0  
0.4954955  0.7171717888888889  0  0.0001  -1.856760520994758e-18  -2.7902177795944094e-16  -4.007695001253175e-18  -2.922548391311211e-16  -0.000993627318381428  -2.5671190611863744e-09  8.946100108121612e-06  -1.4493877811539056e-15  -0  -0  -0  -0  
0.4954955  0.7272727999999999  0  0.0001  7.279198521634794e-19  -2.8124879842560186e-16  -1.7897526829278267e-18  -2.893655713442506e-16  -0.0009834018072373333  -2.6353708068720958e-09  -1.980081077742047e-05  -1.5898435237928026e-15  -0  -0  -0  -0  
0.4954955  0.7373738111111112  0  0.0001  1.5261018629358664e-18  -2.8324594314202486e-16  -8.346922118739121e-19  -2.862631292630127e-16  -0.0009722985819221661  -3.6005051055448957e-09  -4.850826149530297e-05  -1.7462221822539263e-15  -0  -0  -0  -0  
0.4954955  0.7474748222222223  0  0.0001  -2.455047812794966e-18  -2.849949032508457e-16  -1.0520975048252995e-18  -2.829498802877958e-16  -0.0009603229305968855  -4.399414334335628e-09  -7.712215042486112e-05  -1.922517832679541e-15  -0  -0  -0  -0  
0.4954955  0.7575758333333334  0  0.0001  3.0663931855405903e-19  -2.865381006563571e-16  -7.17837614673253e-18  -2.7942685503631724e-16  -0.0009474813414549227  -4.626878189157163e-09  -0.00010558870355557181  -2.1164880545663807e-15  -0  -0  -0  -0  
0.4954955  0.7676768444444445  0  0.0001  1.6246592127670812e-18  -2.878428323571953e-16  -4.102937639925279e-18  -2.7612463585802886e-16  -0.0009337815357987416  -3.98346638509067e-09  -0.0001338545814034503  -2.336200002993223e-15  -0  -0  -0  -0  
